"Christie_murder_is_announced" "Christie_murder_of_rodger_ackroyd" "Christie_the_ABC_murders" "Francis_dead_cert" "Francis_odds_against" "M.Westmacott_giants_bread" "Stout_black_orchids" "Stout_right_to_die" "Stout_the_silent_speaker"
"right" 0.711392850854024 0.0988101609782206 0.142658852560148 0.116634077733182 0.185600776369261 0.127592903582921 0.119689847178615 0.173640284546015 0.127000926048419
"get" 0.137348124669836 0.0699905306929063 0.131091918568785 0.123494905835134 0.144356159398314 0.129469269812082 0.230706517025447 0.203513881887265 0.265908188913878
"well" 0.179609086106709 0.189386141874923 0.24290561381863 0.137216562039038 0.191666161217929 0.236422144874237 0.100608857048691 0.104557590694374 0.100542399788332
"now" 0.165522098961085 0.300547572975421 0.188926588525601 0.129212262586761 0.15284769818645 0.212029383895149 0.0936703151832642 0.162437685543046 0.137584336552454
"time" 0.13382637788343 0.107044341059739 0.24290561381863 0.1806684733514 0.184387699399527 0.180131157999418 0.112751305313188 0.121361489198827 0.15742823124752
"looked" 0.200739566825145 0.107044341059739 0.289173349784084 0.177238059300424 0.17225692970219 0.163243861936973 0.180402088501101 0.113893089863515 0.104511178727345
"room" 0.292304983271703 0.242908312404792 0.146514497223936 0.142933918790665 0.197731546066598 0.0788073816247455 0.178667453034745 0.141899587370937 0.183886757507607
"man" 0.200739566825145 0.251142492486311 0.458821714990746 0.170377231198472 0.127373081822042 0.095694677687191 0.14917865010668 0.16803898504453 0.132292631300437
"go" 0.13382637788343 0.135863971345053 0.192782233189389 0.125781848535785 0.150421544246982 0.191389355374382 0.175198182102031 0.12882988853414 0.171980420690568
"will" 0.193696073252333 0.30466466301618 0.196637877853177 0.0880472939750495 0.0800630800024262 0.207338468322247 0.13877083730854 0.218450680557889 0.152136525995502
"two" 0.137348124669836 0.0946930709374614 0.134947563232572 0.192103186854653 0.171043852732456 0.116334706207958 0.117955211712259 0.210982281222577 0.173303347003572
"just" 0.200739566825145 0.218205772160237 0.154225786551511 0.133786147988062 0.179535391520592 0.166058411280714 0.095404950649621 0.166171885210702 0.138907262865458
"more" 0.102130656805776 0.123512701222776 0.119524984577421 0.142933918790665 0.205010007885 0.175440242426517 0.107547398914118 0.151235086540077 0.138907262865458
"came" 0.260609262194048 0.197620321956441 0.200493522516965 0.118921020433833 0.144356159398314 0.15386203079117 0.126628389044042 0.154969286207734 0.127000926048419
"ve" 0.228913541116394 0.148215241467331 0.204349167180753 0.097195064777652 0.138290774549645 0.262691272082485 0.0832625023851238 0.0578800948486716 0.130969704987432
"how" 0.147913365029054 0.127629791263535 0.111813695249846 0.140646976090014 0.140716928489113 0.172625693082776 0.117955211712259 0.173640284546015 0.158751157560524
"some" 0.147913365029054 0.15233233150809 0.127236273904997 0.142933918790665 0.171043852732456 0.149171115218268 0.119689847178615 0.125095688866484 0.158751157560524
"good" 0.1162176439514 0.15233233150809 0.17350400987045 0.132642676637737 0.169830775762722 0.170749326853615 0.142240108241253 0.123228589032656 0.119063368170393
"thought" 0.183130832893115 0.148215241467331 0.13880320789636 0.136073090688713 0.196518469096864 0.208276651436827 0.0867317733178373 0.113893089863515 0.0674692419632227
"over" 0.0880436696601514 0.0823418008151838 0.0925354719309068 0.227550798714738 0.192879238187663 0.148232932103688 0.124893753577686 0.0616142945163278 0.129646778674428
"only" 0.130304631097024 0.119395611182017 0.127236273904997 0.139503504739689 0.164978467883787 0.150109298332849 0.104078127981405 0.184842883548983 0.137584336552454
"come" 0.172565592533897 0.20585450203796 0.204349167180753 0.115490606382857 0.12373385091284 0.173563876197356 0.109282034380475 0.110158890195859 0.144198968117476
"told" 0.140869871456242 0.197620321956441 0.181215299198026 0.125781848535785 0.0837023109116273 0.0769310153955849 0.150913285573037 0.235254579062342 0.210345283767694
"asked" 0.253565768621236 0.238791222364033 0.289173349784084 0.236698569517341 0.131012312731243 0.052538254416497 0.07458932505334 0.132564088201796 0.0873131366582881
"any" 0.0774784293009333 0.0946930709374614 0.127236273904997 0.101768950178953 0.147995390307515 0.121963804895439 0.171728911169318 0.154969286207734 0.203730652202672
"which" 0.0563479485824969 0.131746881304294 0.0925354719309068 0.204681371708232 0.180748468490326 0.0759928322810046 0.135301566375826 0.106424690528203 0.171980420690568
"d" 0.186652579679521 0.0782247107744246 0.100246761258482 0.118921020433833 0.264450779401953 0.190451172259802 0.07458932505334 0.0448103960118748 0.0727609472152401
"here" 0.228913541116394 0.148215241467331 0.131091918568785 0.0697517523698444 0.0970461575786984 0.119149255551699 0.169994275702961 0.164304785376874 0.205053578515677
"want" 0.13382637788343 0.139981061385813 0.123380629241209 0.0640343956182178 0.107963850306302 0.18388389045774 0.123159118111329 0.186709983382811 0.152136525995502
"re" 0.154956858601867 0.0988101609782206 0.111813695249846 0.0697517523698444 0.0970461575786984 0.172625693082776 0.112751305313188 0.212849381056405 0.165365789125546
"door" 0.373305159359042 0.25525958252707 0.127236273904997 0.097195064777652 0.134651543640444 0.0591055362185591 0.206421620496453 0.12882988853414 0.0978965471623231
"too" 0.105652403592182 0.0782247107744246 0.134947563232572 0.173807645249448 0.169830775762722 0.136974734728724 0.107547398914118 0.0896207920237495 0.113771662918375
"after" 0.13382637788343 0.135863971345053 0.100246761258482 0.149794746892617 0.128586158791775 0.113520156864217 0.13877083730854 0.143766687204765 0.132292631300437
"going" 0.137348124669836 0.10292725101898 0.158081431215299 0.105199364229929 0.089767695760296 0.160429312593232 0.137036201842183 0.177374484213671 0.125677999735415
"tell" 0.144391618242648 0.197620321956441 0.154225786551511 0.105199364229929 0.0800630800024262 0.100385593260092 0.111016669846832 0.201646782053436 0.156105304934515
"say" 0.13382637788343 0.131746881304294 0.161937075879087 0.0594605102169165 0.0727846181840238 0.196080270947284 0.116220576245902 0.169906084878358 0.117740441857389
"little" 0.190174326465927 0.214088682119478 0.142658852560148 0.0869038226247241 0.109176927276036 0.168872960624455 0.0867317733178373 0.143766687204765 0.0820214314062707
"way" 0.0704349357281212 0.135863971345053 0.0848241826033313 0.128068791236436 0.131012312731243 0.133222002270403 0.142240108241253 0.0858865923560933 0.133615557613441
"again" 0.147913365029054 0.0946930709374614 0.131091918568785 0.122351434484809 0.139503851519379 0.142603833416206 0.124893753577686 0.0784181930207808 0.101865326101336
"something" 0.102130656805776 0.181151961793404 0.20820481184454 0.0651778669685431 0.0849153878813611 0.150109298332849 0.116220576245902 0.13816538770328 0.105834105040349
"where" 0.119739390737806 0.123512701222776 0.131091918568785 0.104055892879604 0.132225389700977 0.0731782829372637 0.133566930909469 0.13816538770328 0.142876041804471
